Motif	Domain	Interaction Domain Description	Interaction Domain Name
3DID_Histone_LIG_10-0	PF00125	Histone	Histone
3DID_Histone_LIG_10-10	PF00125	Histone	Histone
3DID_Histone_LIG_10-5	PF00125	Histone	Histone
3DID_Histone_LIG_10-6	PF00125	Histone	Histone
3DID_Histone_LIG_16-0	PF00125	Histone	Histone
3DID_Histone_LIG_16-1	PF00125	Histone	Histone
3DID_Histone_LIG_16-27	PF00125	Histone	Histone
3DID_Histone_LIG_19-0	PF00125	Histone	Histone
3DID_Histone_LIG_19-11	PF00125	Histone	Histone
3DID_Histone_LIG_4-0	PF00125	Histone	Histone
3DID_Histone_LIG_5-0	PF00125	Histone	Histone
3DID_Histone_LIG_5-12	PF00125	Histone	Histone
3DID_Histone_LIG_5-13	PF00125	Histone	Histone
3DID_Histone_LIG_5-18	PF00125	Histone	Histone
3DID_Histone_LIG_8-0	PF00125	Histone	Histone
3DID_Histone_LIG_9-0	PF00125	Histone	Histone
3DID_Histone_LIG_9-1	PF00125	Histone	Histone
3DID_Histone_LIG_9-14	PF00125	Histone	Histone
3DID_Histone_LIG_9-17	PF00125	Histone	Histone
3DID_Histone_LIG_9-18	PF00125	Histone	Histone
3DID_Histone_LIG_9-32	PF00125	Histone	Histone
3DID_Histone_LIG_9-37	PF00125	Histone	Histone
3DID_Histone_LIG_9-48	PF00125	Histone	Histone
3DID_Histone_LIG_9-55	PF00125	Histone	Histone
3DID_Histone_LIG_9-65	PF00125	Histone	Histone
3DID_Histone_LIG_9-68	PF00125	Histone	Histone
3DID_Histone_LIG_9-69	PF00125	Histone	Histone
3DID_Histone_LIG_9-76	PF00125	Histone	Histone
3DID_Histone_LIG_9-8	PF00125	Histone	Histone
3DID_Histone_LIG_9-80	PF00125	Histone	Histone
3DID_Histone_LIG_9-9	PF00125	Histone	Histone
3DID_Hormone_recep_LIG_1-0	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_1-1	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_1-4	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_1-9	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_3-0	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_3-1	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_3-2	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_3-3	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_8-0	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_8-1	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_8-2	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_8-3	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_8-4	PF00104	Hormone_recep	Hormone_recep
3DID_Hormone_recep_LIG_8-6	PF00104	Hormone_recep	Hormone_recep
3DID_ICAP-1_inte_bdg_LIG_0-0	PF10480	ICAP-1_inte_bdg	ICAP-1_inte_bdg
3DID_ICAP-1_inte_bdg_LIG_2-0	PF10480	ICAP-1_inte_bdg	ICAP-1_inte_bdg
3DID_IF4E_LIG_2-0	PF01652	IF4E	IF4E
3DID_IF4E_LIG_2-1	PF01652	IF4E	IF4E
3DID_IF4E_LIG_2-19	PF01652	IF4E	IF4E
3DID_IF4E_LIG_2-2	PF01652	IF4E	IF4E
3DID_IF4E_LIG_2-36	PF01652	IF4E	IF4E
3DID_IF4E_LIG_2-67	PF01652	IF4E	IF4E
3DID_IF4E_LIG_6-0	PF01652	IF4E	IF4E
3DID_IF4E_LIG_6-1	PF01652	IF4E	IF4E
3DID_IF4E_LIG_6-4	PF01652	IF4E	IF4E
3DID_IRF-3_LIG_0-0	PF10401	IRF-3	IRF-3
3DID_IRF-3_LIG_0-1	PF10401	IRF-3	IRF-3
3DID_IRS_LIG_0-0	PF02174	IRS	IRS
3DID_IRS_LIG_0-1	PF02174	IRS	IRS
3DID_IRS_LIG_0-33	PF02174	IRS	IRS
3DID_IRS_LIG_0-38	PF02174	IRS	IRS
3DID_Ig_2_LIG_3-0	PF13895	Ig_2	Ig_2
3DID_Ig_3_LIG_1-0	PF13927	Ig_3	Ig_3
3DID_Insulin_LIG_0-0	PF00049	Insulin	Insulin
3DID_Insulin_LIG_0-3	PF00049	Insulin	Insulin
3DID_Insulin_LIG_1-0	PF00049	Insulin	Insulin
3DID_Insulin_LIG_11-0	PF00049	Insulin	Insulin
3DID_Insulin_LIG_12-0	PF00049	Insulin	Insulin
3DID_Insulin_LIG_3-0	PF00049	Insulin	Insulin
3DID_Insulin_LIG_3-1	PF00049	Insulin	Insulin
3DID_Insulin_LIG_4-0	PF00049	Insulin	Insulin
