Gene,expression
SEC16B,0.020241604
RASAL2,0.028711127
RALGPS2,0.512452403
FAM20B,0.27048755
TOR3A,0.005987909
ABL2,0.183569902
SOAT1,0.112315001
AXDND1,0.176725212
TOR1AIP2,0.928680231
TOR1AIP1,0.006530553
CEP350,0.386674911
QSOX1,1.077250816
ACBD6,0.134006427
XPR1,0.015551503
RP11-46A10.4,0.03830361
STX6,0.179487336
MR1,0.01781001
IER5,0.693879972
RP11-309G3.3,0.019139489
GLUL,0.976584715
RNASEL,0.160568456
DHX9,0.165214193
LAMC2,0.876225517
SMG7,0.387544751
ARPC5,3.660517188
RP11-382D12.2,0.009563594
C1orf21,2.053556298
EDEM3,0.854355476
RNF2,0.019049014
TRMT1L,0.193094125
SWT1,0.119284208
IVNS1ABP,1.054172998
TPR,0.620394444
C1orf27,0.300543904
RGS18,0.019139489
RGS1,0.147479795
UCHL5,0.05220679
TROVE2,0.195115035
GLRX2,0.312318081
CDC73,0.282940934
B3GALT2,0.026860925
ZBTB41,0.020241604
DENND1B,0.566918479
C1orf53,0.110563497
NEK7,0.456654906
PTPRC,0.038278977
NR5A2,0.269422756
ZNF281,0.12851163
DDX59,0.239034129
C1orf106,1.344418924
TMEM9,0.149063317
LAD1,0.639729272
CSRP1,0.453644274
NAV1,0.024898414
IPO9,0.061673275
TIMM17A,0.378248257
RNPEP,0.548081661
RP11-465N4.4,0.089073948
ELF3,8.901552253
ARL8A,0.235080514
UBE2T,0.034304363
PPP1R12B,0.084019189
KDM5B,0.575908079
RABIF,0.167081293
KLHL12,0.082044337
ADIPOR1,0.202646958
TMEM183A,0.575915275
LINC01136,0.038139989
BTG2,1.185578704
ATP2B4,0.033925027
ZC3H11A,0.53241932
ZBED6,0.101980867
SNRPE,1.040431185
SOX13,0.124180409
REN,0.208082852
GOLT1A,0.008282534
PLEKHA6,0.759665549
PPP1R15B,0.467901237
PIK3C2B,0.115458058
MDM4,0.438180787
NFASC,0.083836351
RBBP5,0.266588124
DSTYK,0.091200934
NUAK2,0.13229064
CDK18,1.512169895
MFSD4,0.009340487
ELK4,0.048317827
SLC45A3,0.209877899
NUCKS1,0.431660614
RAB7L1,0.011975818
CTSE,2.715136487
IKBKE,0.30035768
EIF2D,0.074583939
MAPKAPK2,0.153464742
PIGR,37.80234843
C1orf116,0.237943503
YOD1,0.085363309
PFKFB2,0.152886734
