Gene,avg_log2FC
COTL1,1.03788260079251
PGD,1.59245609453424
DDAH1,0.863585695627624
MFSD1,1.35283214207899
DAZAP1,2.27765047513989
USMG5,2.11657022652332
TUSC2,1.43620041628561
LYRM2,2.38857850395476
TMEM50B,1.75531429684696
APEH,3.38945328013508
MAOA,1.69755913387628
MRPS9,0.966810579917982
HNRNPH1,2.84122496023077
B3GALT6,6.35630137393588
NOL9,4.9544869657266
NMNAT1,6.67292456640391
RP4-635E18.6,6.05592984383174
NPPA-AS1,5.28840173823563
TNFRSF1B,5.20233920930009
CD52,5.76913678672409
MAP3K6,6.35630137393588
CD164L2,6.05592984383174
ZMYM4,5.48280540096519
TFAP2E,4.9959066552575
CLSPN,4.9544869657266
CDC20,6.29703052654873
RP5-1024G6.8,6.05592984383174
CYB5RL,4.9959066552575
TMEM61,5.82693370030659
PCSK9,4.9544869657266
PRKAA2,4.9544869657266
DLEU2L,4.9544869657266
AK4,4.9959066552575
RP11-17E13.2,6.05592984383174
RP11-386I14.4,5.48280540096519
RWDD3,4.9959066552575
LAMTOR5-AS1,4.9544869657266
RP11-88H9.2,5.20233920930009
CD2,5.20233920930009
PHGDH,4.9544869657266
RP11-640M9.1,4.9959066552575
ACP6,8.96289455248606
ADAMTSL4,4.9959066552575
MSTO1,4.9959066552575
RP11-284F21.10,6.35630137393588
ETV3,4.9959066552575
FCER1G,5.76913678672409
SUCO,5.20233920930009
XPR1,4.9959066552575
MR1,5.28840173823563
RGS1,4.9544869657266
MFSD4,5.28840173823563
NEK2,5.4233257851055
SPATA17,4.9544869657266
RP11-285F7.2,5.28840173823563
IBA57,4.9959066552575
HIST3H2A,5.20233920930009
HEATR1,5.20233920930009
AC108488.4,5.28840173823563
GEN1,5.20233920930009
ASXL2,4.9959066552575
SPAST,4.9959066552575
ATL2,6.05592984383174
CHAC2,5.20233920930009
EHBP1,5.28840173823563
ETAA1,4.9544869657266
RAB11FIP5,5.82693370030659
GCFC2,5.20233920930009
RP11-342K6.1,5.20233920930009
LINC01106,5.20233920930009
STEAP3,5.4233257851055
AC068282.3,5.20233920930009
SAP130,6.05592984383174
ZEB2,5.82693370030659
RP11-546J1.1,4.9544869657266
WIPF1,5.82693370030659
SESTD1,5.28840173823563
COL5A2,5.20233920930009
FAM117B,5.82693370030659
LANCL1,4.9959066552575
ARMC9,6.35630137393588
SCLY,4.9959066552575
EDEM1,5.20233920930009
RAD18,4.9959066552575
OSBPL10-AS1,5.28840173823563
FBXL2,5.20233920930009
MLH1,6.35630137393588
ULK4,5.28840173823563
LIMD1,5.4233257851055
RP11-708J19.1,4.9544869657266
ARIH2OS,4.9544869657266
NAT6,4.9959066552575
RAD54L2,5.20233920930009
DNAH1,5.20233920930009
RFT1,4.9959066552575
RP11-884K10.7,5.20233920930009
FAM208A,5.28840173823563
EOGT,4.9959066552575
ZNF654,4.9544869657266
CRYBG3-ENSG00000080200,5.28840173823563
NXPE3,5.28840173823563
ALCAM,4.9544869657266
RP11-59E19.1,5.20233920930009
C3orf17,4.9959066552575
KIAA2018,5.28840173823563
ADPRH,5.20233920930009
EAF2,5.20233920930009
RP11-666A20.4,8.96289455248606
RP11-305K5.1,5.20233920930009
LEKR1,4.9544869657266
C3orf55,4.9959066552575
EIF5A2,6.83237988123556
PIK3CA,5.20233920930009
EPHB3,6.05592984383174
AC069513.4,4.9544869657266
GRK4,4.9959066552575
WFS1,5.48280540096519
RP11-365H22.2,4.9544869657266
PF4,6.05592984383174
SPP1,4.9959066552575
CCSER1,6.05592984383174
DAPP1,4.9959066552575
RP11-286E11.2,4.9544869657266
C4orf21,4.9544869657266
RAB33B,6.05592984383174
ZNF827,4.9544869657266
FHDC1,6.67292456640391
RAPGEF2,4.9544869657266
SAP30,5.4233257851055
LPCAT1,4.9959066552575
FAM105B,5.20233920930009
LMBRD2,5.20233920930009
SKP2,5.28840173823563
WDR70,5.20233920930009
FYB,5.88416659025374
CARD6,6.05592984383174
CTD-2366F13.1,6.67292456640391
PDE4D,5.28840173823563
IPO11,5.28840173823563
CTD-2033C11.1,4.9544869657266
GTF2H2,5.28840173823563
JMY,5.4233257851055
ZFYVE16,4.9959066552575
CKMT2-AS1,5.28840173823563
CTC-428H11.2,5.20233920930009
PPIP5K2,4.9959066552575
PCDHB14,5.28840173823563
STC2,4.9959066552575
TUBB2B,5.20233920930009
GCNT2,4.9544869657266
GMPR,4.9544869657266
ALDH5A1,5.28840173823563
KIAA0319,4.9959066552575
HIST1H3G,5.20233920930009
HIST1H2AG,5.4233257851055
HIST1H2AJ,5.20233920930009
ZKSCAN4,4.9959066552575
LST1,5.20233920930009
TBC1D22B,5.28840173823563
UNC5CL,4.9959066552575
MDFI,4.9959066552575
CUL7,5.28840173823563
SRF,4.9959066552575
CENPQ,4.9544869657266
C6orf141,5.28840173823563
GSTA1,5.88416659025374
GCLC,6.05592984383174
TTK,4.9544869657266
RP11-250B2.6,5.82693370030659
CEP57L1,4.9959066552575
GPR126,4.9959066552575
DAGLB,4.9544869657266
ZNF12,4.9959066552575
RP5-1159O4.2,5.28840173823563
SNX10,5.4233257851055
CPVL,4.9544869657266
PDE1C,4.9544869657266
RP11-379H18.1,5.28840173823563
MRPS24,4.9959066552575
RP11-313P13.5,8.96289455248606
TRIM74,8.96289455248606
GSAP,5.28840173823563
PHTF2,5.82693370030659
ADAM22,5.82693370030659
