Gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
USP42;0.00369154475669909;3.19904522385123;0.1;0.005;1
CCZ1B;0.00369154475669909;2.76425396472105;0.1;0.005;1
HOTAIRM1;0.00369154475669909;4.12985630493123;0.1;0.005;1
HOXA7;0.00369154475669909;3.20877479987247;0.1;0.005;1
HOXA9;0.00369154475669909;3.40340290876391;0.1;0.005;1
FKBP14;0.00369154475669909;2.591130851651;0.1;0.005;1
BLVRA;0.00369154475669909;3.98426602034711;0.1;0.005;1
TYW1;0.00369154475669909;3.83746006028519;0.1;0.005;1
WBSCR16;0.00369154475669909;3.86557091264884;0.1;0.005;1
CROT;0.00369154475669909;4.12205371068323;0.1;0.005;1
MTERF;0.00369154475669909;4.04738592667217;0.1;0.005;1
ZNF789;0.00369154475669909;3.23940130352164;0.1;0.005;1
COG5;0.00369154475669909;3.15762553432032;0.1;0.005;1
THAP5;0.00369154475669909;2.91068857939382;0.1;0.005;1
NUP205;0.00369154475669909;2.62501091293686;0.1;0.005;1
OR2A1-AS1;0.00369154475669909;3.67599837779521;0.1;0.005;1
ZNF282;0.00369154475669909;3.27809338472677;0.1;0.005;1
MNX1;0.00369154475669909;3.17721508592429;0.1;0.005;1
KLHL15;0.00369154475669909;4.22087455476288;0.1;0.005;1
PDK3;0.00369154475669909;2.55744531608094;0.1;0.005;1
SRPX;0.00369154475669909;3.26344020627921;0.1;0.005;1
SLC38A5;0.00369154475669909;2.08864089515828;0.1;0.005;1
PRAF2;0.00369154475669909;1.79056353469047;0.1;0.005;1
SPIN4;0.00369154475669909;4.02568570987802;0.1;0.005;1
GDPD2;0.00369154475669909;3.12941981448045;0.1;0.005;1
TAF9B;0.00369154475669909;3.40340290876391;0.1;0.005;1
PRPS1;0.00369154475669909;3.15762553432032;0.1;0.005;1
ZBTB33;0.00369154475669909;3.14884725822679;0.1;0.005;1
MTMR9;0.00369154475669909;3.3108637346852;0.1;0.005;1
PBK;0.00369154475669909;2.54971116212009;0.1;0.005;1
RP11-51J9.5;0.00369154475669909;3.10617741532149;0.1;0.005;1
FUT10;0.00369154475669909;3.0207647730741;0.1;0.005;1
BRF2;0.00369154475669909;3.75842595711332;0.1;0.005;1
HOOK3;0.00369154475669909;3.21404633768513;0.1;0.005;1
